id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1269,2016-05-18,000001,Vente,177000,324,,RUE DE L ANCIEN STADE,0640,01000,01344,Saint-Denis-lès-Bourg,01,,,01344000AI0082,,,,,,,,,,,,,0,1,Maison,104,5,S,sols,,,440,5.203442,46.198889
2016-1269,2016-05-18,000001,Vente,177000,324,B,RUE DE L ANCIEN STADE,0640,01000,01344,Saint-Denis-lès-Bourg,01,,,01344000AI0084,,,,,,,,,,,,,0,,,,,S,sols,,,167,5.20361,46.198994
2016-1270,2016-05-20,000001,Vente,148000,,,VERS LA PLANCHE,B135,01290,01203,Laiz,01,,,012030000B1863,,,,,,,,,,,,,0,,,,,S,sols,,,430,4.889723,46.249869
2016-1270,2016-05-20,000001,Vente,148000,,,VERS LA PLANCHE,B135,01290,01203,Laiz,01,,,012030000B1865,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,JARD,Jardin d'agrément,625,4.889432,46.249787
2016-1271,2016-05-19,000001,Vente,50000,7,,RUE GEORGES GUYNEMER,1700,01000,01053,Bourg-en-Bresse,01,,,01053000AK0145,,,17,49.93,2,,,,,,,,2,2,Appartement,55,2,,,,,,5.211919,46.192824
2016-1272,2016-05-19,000001,Vente,135363.52,,,EN BERIAT,B005,01250,01422,Tossiat,01,,,01422000ZH0307,,,,,,,,,,,,,0,,,,,T,terres,,,3519,5.288106,46.136643
2016-1272,2016-05-19,000001,Vente,135363.52,5545,,EN BERIAT,B005,01250,01422,Tossiat,01,,,01422000ZH0329,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,AB,terrains a bâtir,,,1000,5.288421,46.136932
2016-1273,2016-05-30,000001,Vente,117650,5285,,PL JULES GOYON,0340,01750,01370,Saint-Laurent-sur-Saône,01,,,013700000A0656,,,59,,,,,,,,,,1,2,Appartement,80,4,,,,,,4.840248,46.306148
2016-1273,2016-05-30,000001,Vente,117650,5285,,PL JULES GOYON,0340,01750,01370,Saint-Laurent-sur-Saône,01,,,013700000A0656,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.840248,46.306148
2016-1274,2016-05-26,000001,Vente,1600000,,,LE PUTET NORD,B313,01750,01320,Replonges,01,,,013200000D2774,,,,,,,,,,,,,0,,,,,S,sols,,,192,,
2016-1274,2016-05-26,000001,Vente,1600000,329,,RTE DE BOURG,0053,01750,01320,Replonges,01,,,013200000D2926,,,,,,,,,,,,,0,1,Maison,59,2,S,sols,,,3196,,
2016-1274,2016-05-26,000001,Vente,1600000,329,,RTE DE BOURG,0053,01750,01320,Replonges,01,,,013200000D2926,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,403,0,S,sols,,,3196,,
2016-1275,2016-05-24,000001,Vente,300,,,CHAMP DUVERNEZ,B042,01750,01320,Replonges,01,,,01320000ZO0128,,,,,,,,,,,,,0,,,,,P,prés,,,1470,4.872784,46.315859
2016-1276,2016-05-30,000001,Vente,252350,88,,RUE DE SERVE VALLET,0416,01570,01231,Manziat,01,,,01231000AH0446,,,,,,,,,,,,,0,1,Maison,162,4,S,sols,,,998,4.915397,46.358891
2016-1276,2016-05-30,000001,Vente,252350,,,JACOMES SUD,B086,01570,01231,Manziat,01,,,01231000AH0449,,,,,,,,,,,,,0,,,,,S,sols,,,15,4.915521,46.358724
2016-1277,2016-06-06,000001,Vente,209200,5198,,SUR LES VIGNES,B063,01160,01430,Varambon,01,,,014300000C0362,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,577,5.305698,46.032421
2016-1277,2016-06-06,000001,Vente,209200,5198,,SUR LES VIGNES,B063,01160,01430,Varambon,01,,,014300000C0362,,,,,,,,,,,,,0,1,Maison,100,5,P,prés,,,673,5.305698,46.032421
2016-1277,2016-06-06,000001,Vente,209200,,,SUR LES VIGNES,B063,01160,01430,Varambon,01,,,014300000C0363,,,,,,,,,,,,,0,,,,,S,sols,,,649,5.305521,46.032474
2016-1277,2016-06-06,000001,Vente,209200,,,SUR LES VIGNES,B063,01160,01430,Varambon,01,,,014300000C0363,,,,,,,,,,,,,0,,,,,P,prés,,,901,5.305521,46.032474
2016-1278,2016-05-25,000001,Vente,52000,,,LES CADALLES,B003,01000,01344,Saint-Denis-lès-Bourg,01,,,01344000AH0607,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,322,5.200751,46.205106
2016-1279,2016-05-25,000001,Vente,63900,,,LES CADALLES,B003,01000,01344,Saint-Denis-lès-Bourg,01,,,01344000AH0590,,,,,,,,,,,,,0,,,,,S,sols,,,306,5.201132,46.204884
2016-1279,2016-05-25,000001,Vente,63900,,,LES CADALLES,B003,01000,01344,Saint-Denis-lès-Bourg,01,,,01344000AH0598,,,,,,,,,,,,,0,,,,,S,sols,,,60,5.200979,46.204906
2016-1280,2016-05-26,000001,Vente,49000,9,,RUE DU CORDIER,0990,01000,01053,Bourg-en-Bresse,01,,,01053000BD0278,,,120,,,,,,,,,,1,2,Appartement,20,1,,,,,,5.237641,46.204412
2016-1281,2016-06-02,000001,Vente,167500,,,LA POIPE,B080,01380,01343,Saint-Cyr-sur-Menthon,01,,,01343000ZM0604,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,386,4.972315,46.276766
2016-1281,2016-06-02,000001,Vente,167500,60,,RTE DE BECALET,0023,01380,01343,Saint-Cyr-sur-Menthon,01,,,01343000ZM0605,,,,,,,,,,,,,0,1,Maison,85,4,AB,terrains a bâtir,,,433,4.972319,46.276909
2016-1282,2016-06-10,000001,Vente,40320,,,L ECOTTAY SUD,B321,01380,01025,Bâgé-Dommartin,01,01025,Bâgé-la-Ville,01025000ZB0031,,,,,,,,,,,,,0,,,,,P,prés,,,27763,4.929502,46.293095
2016-1282,2016-06-10,000001,Vente,40320,,,L ECOTTAY SUD,B321,01380,01025,Bâgé-Dommartin,01,01025,Bâgé-la-Ville,01025000ZB0031,,,,,,,,,,,,,0,,,,,P,prés,,,55527,4.929502,46.293095
2016-1283,2016-06-09,000001,Vente,1460,,,MOLIERE,B054,01310,01065,Buellas,01,,,010650000A0124,,,,,,,,,,,,,0,,,,,L,landes,,,7297,5.135483,46.219746
2016-1284,2016-06-10,000001,Vente,222000,6003,,LE DEVIN,B141,01851,01232,Marboz,01,,,01232000WM0216,,,,,,,,,,,,,0,1,Maison,133,4,AG,terrains d'agrément,,,1005,5.235806,46.355217
2016-1284,2016-06-10,000001,Vente,222000,6003,,LE DEVIN,B141,01851,01232,Marboz,01,,,01232000WM0216,,,,,,,,,,,,,0,1,Maison,133,4,S,sols,,,1000,5.235806,46.355217
2016-1285,2016-06-03,000001,Vente,218000,374,,CHE DES SAULES,0377,01960,01289,Péronnas,01,,,01289000AV0176,,,,,,,,,,,,,0,1,Maison,124,4,AG,terrains d'agrément,,,800,5.200384,46.184178
2016-1285,2016-06-03,000001,Vente,218000,374,,CHE DES SAULES,0377,01960,01289,Péronnas,01,,,01289000AV0176,,,,,,,,,,,,,0,1,Maison,124,4,S,sols,,,1000,5.200384,46.184178
2016-1286,2016-05-23,000001,Vente,100000,11,,RUE TONY REVILLON,0560,01750,01370,Saint-Laurent-sur-Saône,01,,,013700000A0243,,,3,72.2,,,,,,,,,1,2,Appartement,84,4,,,,,,4.839719,46.304528
2016-1287,2016-06-09,000001,Vente,49000,,,BEZATON,B005,01310,01301,Polliat,01,,,01301000AC0186,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,419,5.13264,46.253735
2016-1288,2016-06-14,000001,Vente,143000,5231,,SAINT JEAN SUR VEYLE,B058,01290,01365,Saint-Jean-sur-Veyle,01,,,013650000C0949,,,,,,,,,,,,,0,1,Maison,15,1,S,sols,,,600,4.914441,46.25777
